,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
72,100*,154,154,3,6,64.93,7,not out,2,v Sri Lanka,Mumbai (BS),2 Dec 2009
73,89,170,167,9,2,53.29,6,stumped,2,v Bangladesh,Dhaka,24 Jan 2010
74,DNB,-,-,-,-,-,-,-,4,v Bangladesh,Dhaka,24 Jan 2010
75,6,46,29,1,0,20.68,6,caught,2,v South Africa,Nagpur,6 Feb 2010
76,25,144,112,3,0,22.32,6,caught,3,v South Africa,Nagpur,6 Feb 2010
77,132*,272,187,12,3,70.58,8,not out,2,v South Africa,Kolkata,14 Feb 2010
78,33,64,47,4,0,70.21,7,bowled,2,v Sri Lanka,Galle,18 Jul 2010
79,4,7,5,1,0,80.00,7,bowled,3,v Sri Lanka,Galle,18 Jul 2010
80,76,164,138,7,0,55.07,7,caught,2,v Sri Lanka,Colombo (SSC),26 Jul 2010
81,15,48,30,1,0,50.00,7,caught,2,v Sri Lanka,Colombo (PSS),3 Aug 2010
82,DNB,-,-,-,-,-,-,-,4,v Sri Lanka,Colombo (PSS),3 Aug 2010
83,14,25,28,1,1,50.00,7,caught,2,v Australia,Mohali,1 Oct 2010
84,2,19,14,0,0,14.28,8,run out,4,v Australia,Mohali,1 Oct 2010
85,30,133,87,3,0,34.48,7,caught,2,v Australia,Bengaluru,9 Oct 2010
86,DNB,-,-,-,-,-,-,-,4,v Australia,Bengaluru,9 Oct 2010
87,10,16,9,0,1,111.11,7,caught,1,v New Zealand,Ahmedabad,4 Nov 2010
88,22,97,72,1,0,30.55,7,bowled,3,v New Zealand,Ahmedabad,4 Nov 2010
89,14,25,21,1,0,66.66,7,caught,2,v New Zealand,Hyderabad (Deccan),12 Nov 2010
90,DNB,-,-,-,-,-,-,-,4,v New Zealand,Hyderabad (Deccan),12 Nov 2010
91,98,220,156,12,1,62.82,7,caught,2,v New Zealand,Nagpur,20 Nov 2010
92,33,87,50,2,2,66.00,7,lbw,1,v South Africa,Centurion,16 Dec 2010
93,90,178,106,14,0,84.90,8,caught,3,v South Africa,Centurion,16 Dec 2010
94,35,108,57,3,1,61.40,7,caught,1,v South Africa,Durban,26 Dec 2010
95,21,52,35,4,0,60.00,7,caught,3,v South Africa,Durban,26 Dec 2010
